source,target,distance_m,time_h,traf_t,strength,type
1060,1080,12888,0.319166667,45320.3,45320.3,type1
19,28,8678,0.319444444,200319.6,200319.6,type1
388,417,11453,0.320277778,47013.5,47013.5,type1
497,510,13651,0.320555556,36134.4,36134.4,type1
941,962,7344,0.321388889,6076.1,6076.1,type1
21,30,8773,0.322222222,161693.8,161693.8,type1
661,668,15453,0.3225,18096.4,18096.4,type1
224,908,11051,0.324722222,38012,38012,type1
553,597,12973,0.325,14849.9,14849.9,type1
986,999,13692,0.325,28503.2,28503.2,type1
206,697,13691,0.326666667,30600.6,30600.6,type1
781,814,13579,0.328055556,12723.1,12723.1,type1
685,688,15139,0.328333333,49517.9,49517.9,type1
1016,1029,14539,0.329166667,29187.5,29187.5,type1
159,164,13727,0.329166667,29773.9,29773.9,type1
494,495,14334,0.329444444,73988.9,73988.9,type1
490,498,15907,0.33,78866.6,78866.6,type1
489,508,14392,0.330833333,41651.5,41651.5,type1
221,235,12991,0.331111111,31141,31141,type1
882,883,12242,0.331111111,162978.2,162978.2,type1
528,552,19617,0.331666667,33154.2,33154.2,type1
361,367,11444,0.333055556,13600.3,13600.3,type1
387,398,14380,0.333888889,94769.1,94769.1,type1
226,266,12659,0.334722222,13213.4,13213.4,type1
181,190,14941,0.335,39483.3,39483.3,type1
1056,1074,16938,0.335,57177.5,57177.5,type1
755,774,7988,0.335833333,51853,51853,type1
726,737,15236,0.336388889,34724.7,34724.7,type1
554,587,11165,0.336666667,15598.9,15598.9,type1
711,723,10841,0.3375,14118,14118,type1
179,201,14057,0.337777778,31905.8,31905.8,type1
522,523,10658,0.337777778,121755.7,121755.7,type1
897,899,11437,0.337777778,430620,430620,type1
1067,1079,11694,0.338055556,34887.8,34887.8,type1
391,413,11140,0.338333333,41148.6,41148.6,type1
365,368,20434,0.339166667,8678.6,8678.6,type1
45,57,17313,0.339166667,49740.7,49740.7,type1
86,93,11385,0.340277778,20550.9,20550.9,type1
554,576,11468,0.340555556,17574.3,17574.3,type1
872,873,11134,0.341388889,56073.6,56073.6,type1
711,722,10272,0.342777778,15367.5,15367.5,type1
529,581,11166,0.342777778,21567,21567,type1
156,202,18539,0.342777778,26884.2,26884.2,type1
956,963,12467,0.343888889,5157.8,5157.8,type1
428,778,9580,0.344166667,13207.2,13207.2,type1
1076,1078,23329,0.344444444,26690.6,26690.6,type1
1060,1069,19498,0.344444444,78903.7,78903.7,type1
907,975,10002,0.344722222,5897.2,5897.2,type1
218,312,13167,0.345,8098.5,8098.5,type1
980,981,12390,0.345555556,151925.7,151925.7,type1
865,866,13761,0.346388889,17945.3,17945.3,type1
544,548,14336,0.3475,26025.3,26025.3,type1
524,530,9519,0.348888889,57460.3,57460.3,type1
907,936,15793,0.349722222,13457.2,13457.2,type1
330,338,9221,0.350555556,37258.8,37258.8,type1
622,627,13900,0.350833333,4205.2,4205.2,type1
155,164,15153,0.351111111,30782.4,30782.4,type1
218,230,14971,0.351944444,40547.9,40547.9,type1
459,471,13054,0.353055556,18882.1,18882.1,type1
1007,1017,17542,0.353055556,60121.7,60121.7,type1
165,166,16078,0.353611111,19299.8,19299.8,type1
1056,1076,13011,0.353611111,49796.6,49796.6,type1
869,872,11769,0.353611111,103998,103998,type1
962,979,8303,0.353888889,3528.6,3528.6,type1
1039,1048,11472,0.353888889,9761.5,9761.5,type1
194,208,11379,0.354166667,20123.4,20123.4,type1
980,996,11439,0.354166667,40583.1,40583.1,type1
440,450,18606,0.354444444,23421.3,23421.3,type1
987,994,16716,0.355277778,33566.5,33566.5,type1
151,159,14080,0.355277778,60728.5,60728.5,type1
587,595,10052,0.356111111,10782.7,10782.7,type1
1010,1038,12901,0.357222222,20209,20209,type1
534,552,24594,0.357777778,28367,28367,type1
