id_gephi,node,description_n4_eng,x,y,,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,component,closeness,eigenvector,weight,clustering,betweenness,group_eng,region_2,lat
45,190,Yare,43.57937507,-4.10699462,-38.21398924,1,Zone 1,9,40,-66.7461923,0.358830341,1057080.8,115,11515,0,0.239779874,0.635992222,42597,0.751282051,0.003942666,Miranda,Bolivar,10.1799702
54,189,Higuerote,63.69323731,6.13113404,-17.73773192,1,Zone 1,10,21,-66.1059484,0.307088212,577336.9,115,11514,0,0.220854453,0.24873867,58940,0.761904762,0.013294421,Miranda,Brion,10.468522
55,191,Mamporal,62.76240693,2.6104126,-24.7791748,1,Zone 1,10,20,-66.1355775,0.305448868,361182.4,115,11516,0,0.220694645,0.236741828,27515,0.763157895,0.012859026,Miranda,Buroz,10.3693233
244,46,Camatagua,38.45048675,-17.88555908,-65.77111816,1,Zone 1,10,15,-66.9094499,0.304837367,148617,104,10412,0,0.225591716,0.207638789,16627,0.733333333,2.60E-04,Aragua,Camatagua,9.7912231
25,109,Caracas,38.6340683,6.55966186,-16.88067628,1,Zone 1,9,42,-66.9036063,0.367857143,6530797,109,10911,0,0.248776509,0.712878052,1943901,0.756097561,0.014077317,Distrito Capital,Caracas,10.4805937
241,87,Güigüe,11.06129265,-7.53723144,-45.07446288,1,Zone 1,10,33,-67.7812751,0.361288056,1730770.1,107,10712,0,0.248573757,0.643460262,150277,0.84280303,5.08E-04,Carabobo,Carlos Arvelo,10.0832333
71,192,Carrizal,35.83058395,2.34469604,-25.31060792,1,Zone 1,9,42,-66.992844,0.366491023,1342291.2,115,11517,0,0.24796748,0.730153195,51712,0.778164925,0.009293206,Miranda,Carrizal,10.3618354
79,193,Chacao,40.11116981,7.0309143,-15.9381714,1,Zone 1,9,36,-66.8565887,0.347956024,1340416.4,115,11518,0,0.236617533,0.591279865,64629,0.784126984,0.00265138,Miranda,Chacao,10.4938681
16,88,Mariara,12.99035969,-0.23306274,-30.46612548,1,Zone 1,9,57,-67.719871,0.410071559,3092366.3,107,10713,0,0.26384083,0.976851559,104536,0.5839599,0.029892495,Carabobo,Diego Ibarra,10.2891838
238,194,El Hatillo,42.00560761,3.49234008,-23.01531984,1,Zone 1,10,30,-66.7962869,0.326258132,855662.5,115,11519,0,0.226597325,0.503100505,54225,0.903448276,1.93E-04,Miranda,El Hatillo,10.3941754
20,47,Santa Rita,17.85913124,-3.2408142,-36.4816284,1,Zone 1,9,53,-67.5648932,0.404510799,3493657.5,104,10413,0,0.265911072,0.924295383,123122,0.652394775,0.027907979,Aragua,Francisco Linares Alcantara,10.2043929
21,48,Maracay,16.54835758,-1.82910156,-33.65820312,1,Zone 1,9,52,-67.6066164,0.402871455,4942846.7,104,10414,0,0.265679443,0.906272561,407109,0.634992459,0.019940325,Aragua,Girardot,10.2441931
72,195,Los Teques,34.52052956,1.89715576,-26.20568848,1,Zone 1,9,42,-67.0345443,0.370478793,3316153.8,115,11520,0,0.252274607,0.753236705,252242,0.792102207,0.006709203,Miranda,Guaicaipuro,10.349223
128,197,Santa Teresa del Tuy,44.90112649,-0.88348388,-31.76696776,1,Zone 1,9,44,-66.7041197,0.373594848,2330021.5,115,11522,0,0.250410509,0.724874163,138776,0.721987315,0.01817766,Miranda,Independencia,10.27085
0,49,Santa Cruz,19.63797226,-4.03747558,-38.07495116,1,Zone 1,9,51,-67.5082709,0.399592766,1388436.8,104,10415,0,0.264756944,0.88806069,32981,0.653333333,0.025259653,Aragua,Jose angel Lamas,10.1819305
